Reference,Nat./Syn.,Spec.,Var.,Shape,Weight,Color,Type,Nitrogen,Hydrogen,Platelets,Fluorsence,Treatment,Origin,Cert,Note,MFG.,DQS,Expected_L_Features,L_Crest_FWHM,Expected_B_Features,Expected_U_Features
591,Nat.,Corundum/Ruby,Ruby,PEAR,,Red,,,,,,,,,,,,,,nan,
592,Nat.,Corundum/Ruby,Ruby,PEAR,,Red,,,,,,,,,,,,,,nan,
593,,Diamond,,RBC,,Colorless,,,,,,,,,,,,,,nan,
594,,Diamond,,RBC,,Colorless,,,,,,,,,,,,,,nan,
595,Nat.,Corundum,Ruby,Round,,Red,,,,,,Heated,Kenya,Gia,,,,,,nan,
596,Nat. ,Peridot,v. lt green,Round,,v.lt.green,,,,,,,,,,,,,,nan,
597,Nat./Syn.,Quartz,colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
598,Nat. ,Corundum/Sapphire,Sapphire,Round,,Blue,,,,,,,,,,,,,,nan,
599,Nat.,Corundum/Orange Sapphire,Orange Sapphire,Oval,,Orange,,,,,,,,,,,,,,nan,
600,Nat.,Tourmaline,Pink ,Round,,Pink,,,,,,,,,,,,,,nan,
601,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Gilson,,pair 115,,,,,nan,
602,Syn.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,Gilson,,pair 113,,,,,nan,
603,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,pair 430,,,,,nan,
604,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,pair 430,,,,,nan,
605,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,pair 430,,,,,nan,
606,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,pair 430,,,,,nan,
607,Syn (FF),Corundum/Ruby,Ruby,Triangle,,Red,,,,,,,,,pair 81, ,,,,nan,
608,Nat.,Spinel,Black,Round,,Black,,,,,,,,,pair 74,,,,,nan,
609,Nat.,Opal,Blue-Green,RdCab,,Blue-Green,,,,,,,,,,,,,,nan,
610,Man-made,Garnet/Glass(Doublet),Green,Round,,Green,,,,,,Doublet,,,,,,,,nan,
611,Man-made,Garnet/Glass(Doublet),Green,Round,,Green,,,,,,Doublet,,,,,,,,nan,
612,Man-made,Garnet/Glass(Doublet),Green,Round,,Green,,,,,,Doublet,,,,,,,,nan,
613,Syn.,Opal,White,RdCab,,White,,,,,,,,,pair446,,,,,nan,
614,Nat.,Corundum,Brownish Orange Sapphire,Oval,,brOr,,,,,,,,,pair 92,,,,,nan,
615,Nat.,Corundum,Brownish Orange Sapphire,Oval,,brOr,,,,,,,,,pair 92,,,,,nan,
616,Nat.,Corundum,Brownish Orange Sapphire,Oval,,brOr,,,,,,,,,pair 92,,,,,nan,
617,Nat.,Corundum,Purple Sapphire,Round,,Purple,,,,,,,,,pair 617,,,,,nan,
618,Nat.,Quartzite,Green,Cab.,,Green,,,,,,Dyed,,,pair 166,,,,,nan,
619,Nat.,Kyanite,Blue,OvCab,,Blue,,,,,,,,,pair 156,,,,,nan,
620,Nat.,Kyanite,Blue,Bead,,Blue,,,,,,Stabilized,,,pair 157,,,,,nan,
621,Nat.,Labradorite,Colorless,Bead,,Colorless,,,,,,,,,pair 168,,,,,nan,
622,Nat.,Apatite,Blue,Bead, ,Blue,,,,,,,,,pair 161,,,,,nan,
623,Culture,Pearl,Golden,Bead,,Golden,,,,,,None,South Sea,Gia2205519545,,,,,,nan,
624,Culture,Pearl,Golden,Bead,,Golden,,,,,,None,South Sea,,,,,,,nan,
625,Culture,Pearl,Golden,Bead,,Golden,,,,,,None,South Sea,,,,,,,nan,
626,Culture,Pearl,Grey,Bead,,Grey,,,,,,None, ,Gia2205519545,,,,,,nan,
627,Culture,Pearl,White,Bead,,White,,,,,,None, ,Gia2205519545,,,,,,nan,
628,Culture,Pearl,Black,Bead,,Black,,,,,,TC, ,Gia2205519545,,,,,,nan,
629,Culture,Pearl,Black,Bead,,Black,,,,,,TC, ,Gia2205519545,,,,,,nan,
630,Culture,Pearl,Green,Bead,,Green,,,,,,TC, ,Gia2205519545,,,,,,nan,
631,Culture,Pearl,Green,Bead,,Green,,,,,,TC, ,Gia2205519545,,,,,,nan,
632,,,,,,,,,,,,,,,,,,,,nan,
633,,,,,,,,,,,,,,,,,,,,nan,
634,,,,,,,,,,,,,,,,,,,,nan,
635,,,,,,,,,,,,,,,,,,,,nan,
636,,,,,,,,,,,,,,,,,,,,nan,
637,,,,,,,,,,,,,,,,,,,,nan,
638,,,,,,,,,,,,,,,,,,,,nan,
639,,,,,,,,,,,,,,,,,,,,nan,
640,,,,,,,,,,,,,,,,,,,,nan,
641,,,,,,,,,,,,,,,,,,,,nan,
642,,,,,,,,,,,,,,,,,,,,nan,
643,,,,,,,,,,,,,,,,,,,,nan,
644,,,,,,,,,,,,,,,,,,,,nan,
645,,,,,,,,,,,,,,,,,,,,nan,
646,,,,,,,,,,,,,,,,,,,,nan,
647,,,,,,,,,,,,,,,,,,,,nan,
648,,,,,,,,,,,,,,,,,,,,nan,
649,,,,,,,,,,,,,,,,,,,,nan,
650,,,,,,,,,,,,,,,,,,,,,
C0000,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470137,IGI,,,,,,
C0001,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470141,IGI,,,,,,
C0002,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470145,IGI,,,,,,
C0003,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470146,IGI,,,,,,
C0004,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470150,IGI,,,,,,
C0005,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470154,IGI,,,,,,
C0006,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470155,IGI,,,,,,
C0007,Syn. (CVD),Diamond,,,,IY,2a,,,,,,,638470156,IGI,,,,,,
C0008,, , , , , , ,,,,,,, , ,,,,,nan,
C0009,,,,,,, ,,,,,,,,,,,,,,
C0010,Nat.,Diamond,,RBC,0.562,"FIGnY,TC",A>B,H,VL,H,STG Y,Irrad/Heat, ,,PhilipTC500,,,,,nan,
C0011,Nat.,Diamond,,HRT,0.671,"FyGn,TC",AB,VH,VH,NONE,FT.,Irrad ,,,PhilipTC501,,,,,nan,
C0012,Nat.,Diamond,,PEAR,1.01,"FDpgnY,TC",AB,VH,H,NONE,MY,Irrad/Heat/Anel,,,PhilipTC502,,,,,nan,
C0013,Nat.,Diamond,,CUSH,0.743,"FDpgnY,TC",A=B,MH,NONE,M,STG Y,Irrad/Heat,,,PhilipTC503,,,,,nan,
C0014,Nat.,Diamond,,,,FyGn,A+B,,,,SB,,UNDETERMINED,,90074,,,,,nan,
C0015,Nat.,Diamond,,REC.CUSH,0.706,"FltYGn,TC",B>>A,L,NONE,?,STG WT,Heat,,,PhilipTC505,,,,,nan,
C0016,Nat.,Diamond,,SQ. CUSH,0.624,"FDpgnY,TC",A=B,H,VVL,?,MY,Irrad/Heat,,,PhilipTC506,,,,,nan,
C0017,Nat.,Diamond,,PEAR,0.551,"FDpbrY,TC",A>B,VL,NONE,,STG Y,Irrad/Heat/Anel,,,PhilipTC507,,,,,nan,
C0018,Nat.,Diamond,,RBC,0.316,"FIyGn,TC",A=B,H,L,,STG B,Irrad/Heat/Anel,,,PhilipTC508,,,,,nan,
C0019,Nat.,Diamond,,PEAR,0.32,"FDpgnY,TC",AB,H,VL,,STG Y,Irrad/Heat/Anel,,,PhilipTC509,,,,,nan,
C0020,Nat.,Diamond,,RBC,0.307,"FIYGn,TC",A=B,H,VVL,,STG B,Irrad/Heat/Anel,,,PhilipTC510,,,,,nan,
C0021,Nat.,Diamond,,SQ,0.246,"FDpbrY,TC",B>>A,L,VVL,NONE,MB,HPHT,,,PhilipTC511,,,,,nan,
C0022,Nat.,Diamond,,PEAR,0.372,"FDpBrY,TC",A+1b,VL,NONE,NONE,NONE,HPHT,,,PhilipTC512,,,,,nan,
C0023,,,,,,,,,,,,,,,,,,,,,
C0024,,,,,,,,,,,,,,,,,,,,nan,
C0025,,,,,,,,,,,,,,,,,,,,nan,
C0026,Nat.,Diamond,,RBC,0.382,"FDGnY,TC",B>>A,VH,NONE,NONE,STG B,HPHT,,,PhilipTC516,,,,,nan,
C0027,Nat.,Diamond,,RBC,0.344,"FDpBrY,TC",B>A,H,VL,NONE,MB,HPHT,,,PhilipTC517,,,,,nan,
C0028,Nat.,Diamond,,RBC,0.316,"FDpGnY,TC",A=B,H,VL,L,MB,HPHT,,,PhilipTC518,,,,,nan,
C0029,Nat.,Diamond,,RBC,0.374,"FDpbrY,TC",B>>A,VH,VL,VL,MB,HPHT,,,PhilipTC519,,,,,nan,
C0030,Nat.,Diamond,,RBC,0.38,"FDpbrY,TC",B>A,H,VL,L,STG B,HPHT,,,PhilipTC520,,,,,nan,
C0031,Nat.,Diamond,,RBC,0.545,"FDpbrY,TC",A>B,M ,NONE,NONE,FT.,HPHT,,,PhilipTC521,,,,,nan,
C0032,Nat.,Diamond,,RBC,0.715,"FDpbrY,TC",B>A,H,VL,?,FT.,HPHT,,,PhilipTC522,,,,,nan,
C0033,Nat.,Diamond,,RBC,0.401,"FDpbrY,TC",A=B,VH,L,?,FT.,HPHT,,,PhilipTC523,,,,,nan,
C0034,Nat.,Diamond,,RBC,0.344,"""FIGnY"",TC",A,M,NONE,NONE,FT.,TC,,,PhilipTC569,,,,,nan,
C0035,Nat.,Diamond,,RBC,0.344,"""FIGnY"",TC",B>A,M,VL,NONE,MB,TC,,,PhilipTC570,,,,,nan,
C0036,Nat.,Diamond,,RBC,0.381,"""FIGnY"",TC",A=B,M,VL,VL,MB,TC,,,PhilipTC571,,,,,nan,
C0037,Nat.,Diamond,,RBC,0.312,"""FIGnY"",TC",A>B,H,VL,VL,FT.,TC,,,PhilipTC572,,,,,nan,
C0038,Nat.,Beryl/Emerald,Emerald,SQSTP,5+,GREEN,,,,,,,ETHIOPIA,67483511,90073,, , , ,  ,
C0039,Nat.,Diamond,,,,FyGn,A+B,,,,SB,UNK,,67481008,90074,,,,,nan,
C0040,Nat.,Diamond,,,,FltGn,AB,,,,SWT,UND,,67481011,90075,,,,,nan,
C0041,Nat.,Diamond,,,,FgnY,AB,,,,FT.,UND,,67481007,90076,,,,,nan,
C0042,Nat.,Diamond, ,Pear,,FY,,,,,,UND,,67480973,90077,,,,,nan,
C0043,Nat.,Diamond,,RBC,,"FY,TC",,,,,,TC,,,PhilipTCsub1 ,,,,,,
C0044,Nat.,Diamond,,RBC,,"FY,TC",,,,,,TC,,,PhilipTCsub2,,,,,,
C0045,Nat.,Diamond,,RBC,,"FY,TC",, ,,,,TC,,,PhilipTCsub3,,,,,,
C0046,,,,,,,,,,,,,,,,,,,,,
C0047,,,,,,,,,,,,,,,,,,,,,
C0048,,,,,,,,,,,,,,,,,,,,,
C0049,,,,,,,,,,,,,,,,,,,,,
C0050,,,,,,,,,,,,,,,,,,,,,
C0051,,,,,,,,,,,,,,,,,,,,,
C0052,,,,,,,,,,,,,,,,,,,,,
C0053,,,,,,,,,,,,,,,,,,,,,
C0054,,,,,,,,,,,,,,,,,,,,,
C0055,,,,,,,,,,,,,,,,,,,,,
C0056,,,,,,,,,,,,,,,,,,,,,
C0057,,,,,,,,,,,,,,,,,,,,,
C0058,,,,,,,,,,,,,,,,,,,,,
C0059,,,,,,,,,,,,,,,,,,,,,
C0060,,,,,,,,,,,,,,,,,,,,,
C0061,,,,,,,,,,,,,,,,,,,,,
C0062,,,,,,,,,,,,,,,,,,,,,
C0063,,,,,,,,,,,,,,,,,,,,,
C0064,,,,,,,,,,,,,,,,,,,,,
C0065,,,,,,,,,,,,,,,,,,,,,
C0066,,,,,,,,,,,,,,,,,,,,,
C0067,,,,,,,,,,,,,,,,,,,,,
C0068,,,,,,,,,,,,,,,,,,,,,
C0069,,,,,,,,,,,,,,,,,,,,,
C0070,,,,,,,,,,,,,,,,,,,,,
C0071,,,,,,,,,,,,,,,,,,,,,
C0072,,,,,,,,,,,,,,,,,,,,,
C0073,,,,,,,,,,,,,,,,,,,,,
C0074,,,,,,,,,,,,,,,,,,,,,
C0075,,,,,,,,,,,,,,,,,,,,,
C0076,,,,,,,,,,,,,,,,,,,,,
C0077,,,,,,,,,,,,,,,,,,,,,
C0078,,,,,,,,,,,,,,,,,,,,,
C0079,,,,,,,,,,,,,,,,,,,,,
C0080,,,,,,,,,,,,,,,,,,,,,
C0081,,,,,,,,,,,,,,,,,,,,,
C0082,,,,,,,,,,,,,,,,,,,,,
C0083,,,,,,,,,,,,,,,,,,,,,
C0084,,,,,,,,,,,,,,,,,,,,,
C0085,,,,,,,,,,,,,,,,,,,,,
